District,Crop_Year,Year_Start,Area_hectares,Production_tonnes,Yield_tonnes_per_hectare,Crop_Year_Norm,Station,Station_Abbr,Start_Year,End_Year,Start_Date,End_Date,Total_Days,Available_Days,Completeness_Pct,RAINFALL_MM_Total,RAINFALL_MM_Count,EVAPORATION_MM_Total,EVAPORATION_MM_Count,EVAPOTRANSPIRATION_MM_Total,EVAPOTRANSPIRATION_MM_Count,SUNSHINE_HOURS_Mean,SUNSHINE_HOURS_Count,MAX_TEMP_C_Mean,MAX_TEMP_C_Count,MIN_TEMP_C_Mean,MIN_TEMP_C_Count,MEAN_TEMP_C_Mean,MEAN_TEMP_C_Count,RH_0700_PERCENT_Mean,RH_0700_PERCENT_Count,RH_1400_PERCENT_Mean,RH_1400_PERCENT_Count,Core_Weather_Completeness_Pct,Heat_Days_Tmax_ge_35C,Heat_Days_Tmax_ge_38C,Dry_Days_Rain_lt_1mm,Heavy_Rain_Days_Rain_ge_50mm,RAINFALL_MM_Mean,EVAPORATION_MM_Mean,EVAPOTRANSPIRATION_MM_Mean,Period,Area_hectares_Change_Pct,Production_tonnes_Change_Pct,Yield_tonnes_per_hectare_Change_Pct,Yield_MA5,Area_MA5,Production_MA5,Scale_Category,Weather_High_Quality
Ahmednagar,1999 - 2000,1999,66600,5962900.0,89.53,1999-2000,Rahuri,RHI,1999.0,2000.0,1999-10-01,2000-09-30,366.0,76.0,20.76502732240437,0.0,8.0,28.0,8.0,23.7,8.0,33.825,8.0,21.4875,8.0,13.6375,8.0,14.75,8.0,66.0,8.0,31.75,8.0,2.185792349726776,0.0,0.0,8.0,0.0,,,,Period 1 (1999-2006),,,,78.55,61900.0,4907700.0,Medium (50-100k ha),False
Ahmednagar,2000 - 2001,2000,67100,5163900.0,76.96,2000-2001,Rahuri,RHI,2000.0,2001.0,2000-10-01,2001-09-30,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,Period 1 (1999-2006),0.7507507507507505,-13.399520367606366,-14.039986596671516,75.6275,58775.0,4506525.0,Medium (50-100k ha),False
Ahmednagar,2001 - 2002,2001,52000,3596300.0,69.16,2001-2002,Rahuri,RHI,2001.0,2002.0,2001-10-01,2002-09-30,365.0,257.0,70.41095890410959,332.8,229.0,1339.5,229.0,693.9,229.0,7.125764192139738,229.0,32.713537117903925,229.0,19.564628820960696,229.0,26.136681222707423,229.0,71.82532751091703,229.0,40.71615720524017,229.0,62.73972602739726,68.0,35.0,204.0,2.0,,,,Period 1 (1999-2006),-22.503725782414307,-30.356900792037024,-10.135135135135132,70.032,53260.0,3902580.0,Medium (50-100k ha),False
Ahmednagar,2002 - 2003,2002,49400,3303000.0,66.86,2002-2003,Rahuri,RHI,2002.0,2003.0,2002-10-01,2003-09-30,365.0,350.0,95.8904109589041,265.20000000000005,329.0,1941.0,329.0,1202.6,329.0,7.603647416413375,329.0,33.328267477203646,329.0,17.88085106382979,329.0,25.52340425531915,329.0,66.75075987841946,329.0,35.0516717325228,329.0,90.13698630136986,98.0,60.0,307.0,0.0,,,,Period 1 (1999-2006),-5.000000000000004,-8.155604371159242,-3.3256217466743787,63.912,43340.0,2910360.0,Small (<50k ha),True
Ahmednagar,2003 - 2004,2003,31200,1486800.0,47.65,2003-2004,Rahuri,RHI,2003.0,2004.0,2003-10-01,2004-09-30,366.0,360.0,98.36065573770492,80.7,335.0,1745.2999999999995,335.0,1147.7,335.0,7.93910447761194,335.0,32.68626865671642,335.0,18.04388059701493,335.0,25.37611940298508,335.0,68.0865671641791,335.0,36.58716417910448,335.0,91.53005464480874,89.0,38.0,320.0,0.0,,,,Period 1 (1999-2006),-36.8421052631579,-54.986376021798364,-28.73167813341311,64.05199999999999,41240.0,2756640.0,Small (<50k ha),True
Ahmednagar,2004 - 2005,2004,17000,1001800.0,58.93,2004-2005,Rahuri,RHI,2004.0,2005.0,2004-10-01,2005-09-30,365.0,358.0,98.08219178082192,58.89999999999999,349.0,1777.0,349.0,1175.3,349.0,7.492263610315185,349.0,32.08223495702006,349.0,17.935243553008593,349.0,24.9730659025788,349.0,71.34383954154728,349.0,38.8730659025788,349.0,95.61643835616438,91.0,41.0,329.0,0.0,,,,Period 1 (1999-2006),-45.51282051282052,-32.62039278988431,23.672612801678916,63.348,49540.0,3264940.0,Small (<50k ha),True
Ahmednagar,2005 - 2006,2005,56600,4395300.0,77.66,2005-2006,Rahuri,RHI,2005.0,2006.0,2005-10-01,2006-09-30,365.0,362.0,99.17808219178085,61.1,356.0,1484.9,356.0,1226.2,356.0,7.500280898876404,356.0,31.803932584269663,356.0,17.382303370786516,356.0,24.62162921348315,356.0,71.31460674157303,356.0,37.10112359550562,356.0,97.53424657534246,82.0,29.0,337.0,0.0,,,,Period 1 (1999-2006),232.94117647058826,338.7402675184668,31.78347191583233,65.628,66320.0,4690740.0,Medium (50-100k ha),True
Ahmednagar,2006 - 2007,2006,93500,6137800.0,65.64,2006-2007,Rahuri,RHI,2006.0,2007.0,2006-10-01,2007-09-30,365.0,365.0,100.0,696.5999999999999,362.0,1755.3,362.0,1310.2,362.0,7.480662983425415,362.0,32.421270718232044,362.0,18.303591160221,362.0,25.34171270718232,362.0,71.6767955801105,362.0,41.45580110497237,362.0,99.17808219178085,87.0,46.0,315.0,3.0,,,,Period 1 (1999-2006),65.19434628975264,39.644620389962014,-15.477723409734734,70.458,75580.0,5506340.0,Medium (50-100k ha),True
Ahmednagar,2007 - 2008,2007,133300,10432000.0,78.26,2007-2008,Rahuri,RHI,2007.0,2008.0,2007-10-01,2008-09-30,366.0,366.0,100.0,542.8000000000001,342.0,1959.3,342.0,1189.5,342.0,7.208187134502923,342.0,32.55555555555556,342.0,17.48625730994152,342.0,25.040058479532167,342.0,70.95029239766082,342.0,36.66081871345029,342.0,93.44262295081968,87.0,48.0,309.0,2.0,,,,Period 2 (2006-2013),42.56684491978611,69.96317898921438,19.226081657525906,75.44200000000001,87300.0,6573780.0,Large (>=100k ha),True
Ahmednagar,2008 - 2009,2008,77500,5564800.0,71.8,2008-2009,Rahuri,RHI,2008.0,2009.0,2008-10-01,2009-09-30,365.0,365.0,100.0,299.2,279.0,1743.1,279.0,1301.6,279.0,8.867383512544803,279.0,33.72258064516129,279.0,19.370967741935484,279.0,26.567383512544808,279.0,68.37992831541219,279.0,36.45089605734767,279.0,76.43835616438356,115.0,53.0,250.0,0.0,,,,Period 2 (2006-2013),-41.860465116279066,-46.65644171779141,-8.254536161512915,78.19,101180.0,7998000.0,Medium (50-100k ha),False
