District,Crop_Year,Year_Start,Area_hectares,Production_tonnes,Yield_tonnes_per_hectare
Ahmednagar,1999 - 2000,1999,66600,5962900.0,89.53
Ahmednagar,2000 - 2001,2000,67100,5163900.0,76.96
Ahmednagar,2001 - 2002,2001,52000,3596300.0,69.16
Ahmednagar,2002 - 2003,2002,49400,3303000.0,66.86
Ahmednagar,2003 - 2004,2003,31200,1486800.0,47.65
Ahmednagar,2004 - 2005,2004,17000,1001800.0,58.93
Ahmednagar,2005 - 2006,2005,56600,4395300.0,77.66
Ahmednagar,2006 - 2007,2006,93500,6137800.0,65.64
Ahmednagar,2007 - 2008,2007,133300,10432000.0,78.26
Ahmednagar,2008 - 2009,2008,77500,5564800.0,71.8
Ahmednagar,2009 - 2010,2009,75600,6339000.0,83.85
Ahmednagar,2010 - 2011,2010,126000,11516400.0,91.4
Ahmednagar,2011 - 2012,2011,129500,11879200.0,91.73
Ahmednagar,2012 - 2013,2012,115500,8235700.0,71.3
Ahmednagar,2013 - 2014,2013,110800,9643600.0,87.04
Ahmednagar,2014 - 2015,2014,122000,11761000.0,96.4
Ahmednagar,2015 - 2016,2015,112400,6607100.0,58.78
Ahmednagar,2016 - 2017,2016,60972,4181400.0,68.58
Ahmednagar,2017 - 2018,2017,104404,11308900.0,108.32
Ahmednagar,2018 - 2019,2018,134486,12776170.0,95.0
Ahmednagar,2019 - 2020,2019,70931,5103317.0,71.95
Ahmednagar,2020 - 2021,2020,109977,11945130.44,108.61
Ahmednagar,2021 - 2022,2021,207805,20676012.67,99.5
Ahmednagar,2022 - 2023,2022,160000,17600000.0,110.0
Bellary,1997 - 1998,1997,6945,488234.0,70.3
Bellary,1999 - 2000,1999,7336,655105.0,89.3
Bellary,2000 - 2001,2000,7174,783760.0,109.25
Bellary,2001 - 2002,2001,7666,750118.0,97.85
Bellary,2002 - 2003,2002,5327,384609.0,72.2
Bellary,2003 - 2004,2003,1831,121762.0,66.5
Bellary,2005 - 2006,2005,3531,338799.0,95.95
Bellary,2006 - 2007,2006,3293,297193.0,90.25
Bellary,2007 - 2008,2007,2402,203089.0,84.55
Bellary,2008 - 2009,2008,1932,249614.0,129.2
Bellary,2009 - 2010,2009,2464,238762.0,96.9
Bellary,2010 - 2011,2010,1363,130780.0,95.95
Bellary,2011 - 2012,2011,3806,318182.0,83.6
Bellary,2012 - 2013,2012,5660,483930.0,85.5
Bellary,2013 - 2014,2013,6004,484823.0,80.75
Bellary,2014 - 2015,2014,3406,349456.0,102.6
Bellary,2015 - 2016,2015,7835,803871.0,102.6
Bellary,2016 - 2017,2016,6994,511611.0,73.15
Bellary,2017 - 2018,2017,4405,372443.0,84.55
Bellary,2018 - 2019,2018,10096,575472.0,57.0
Bellary,2019 - 2020,2019,6016,607910.0,101.05
Bellary,2020 - 2021,2020,5940,475200.0,80.0
Bellary,2021 - 2022,2021,9758,936783.0,96.0
Bellary,2022 - 2023,2022,1104,99401.0,90.04
Dharwad,1997 - 1998,1997,7762,442434.0,57.0
Dharwad,1999 - 2000,1999,3906,359938.0,92.15
Dharwad,2000 - 2001,2000,3522,317860.0,90.25
Dharwad,2001 - 2002,2001,2868,209794.0,73.15
Dharwad,2002 - 2003,2002,3560,223212.0,62.7
Dharwad,2003 - 2004,2003,3039,98160.0,32.3
Dharwad,2005 - 2006,2005,1247,110172.0,88.35
Dharwad,2006 - 2007,2006,1383,89342.0,64.6
Dharwad,2007 - 2008,2007,3722,240441.0,64.6
Dharwad,2008 - 2009,2008,2869,177161.0,61.75
Dharwad,2009 - 2010,2009,872,61302.0,70.3
Dharwad,2010 - 2011,2010,4533,254075.0,56.05
Dharwad,2011 - 2012,2011,3465,207380.0,59.85
Dharwad,2012 - 2013,2012,4534,297204.0,65.55
Dharwad,2013 - 2014,2013,3706,253490.0,68.4
Dharwad,2014 - 2015,2014,8653,641187.0,74.1
Dharwad,2015 - 2016,2015,8450,569952.0,67.45
Dharwad,2016 - 2017,2016,7327,508127.0,69.35
Dharwad,2017 - 2018,2017,8350,658398.0,78.85
Dharwad,2018 - 2019,2018,8046,550346.0,68.4
Dharwad,2019 - 2020,2019,7922,479120.0,60.48
Dharwad,2020 - 2021,2020,5744,442288.0,77.0
Dharwad,2021 - 2022,2021,8258,759723.0,92.0
Dharwad,2022 - 2023,2022,11061,862778.0,78.0
Nashik,1999 - 2000,1999,23400,1963800.0,83.92
Nashik,2000 - 2001,2000,25100,2284500.0,91.02
Nashik,2001 - 2002,2001,23600,1846900.0,78.26
Nashik,2002 - 2003,2002,23300,1653000.0,70.94
Nashik,2003 - 2004,2003,20400,1159400.0,56.83
Nashik,2004 - 2005,2004,12100,672900.0,55.61
Nashik,2005 - 2006,2005,14300,729500.0,51.01
Nashik,2006 - 2007,2006,28500,1959900.0,68.77
Nashik,2007 - 2008,2007,50200,4306300.0,85.78
Nashik,2008 - 2009,2008,38300,2674400.0,69.83
Nashik,2009 - 2010,2009,31100,2268100.0,72.93
Nashik,2010 - 2011,2010,25700,1989200.0,77.4
Nashik,2011 - 2012,2011,24600,1861200.0,75.66
Nashik,2012 - 2013,2012,24600,1863900.0,75.77
Nashik,2013 - 2014,2013,21000,1786500.0,85.07
Nashik,2014 - 2015,2014,16800,1384200.0,82.39
Nashik,2015 - 2016,2015,19000,1531200.0,80.59
Nashik,2016 - 2017,2016,11216,966200.0,86.14
Nashik,2017 - 2018,2017,11865,988600.0,83.32
Nashik,2018 - 2019,2018,15345,1461304.0,95.23
Nashik,2019 - 2020,2019,13644,1094464.0,80.22
Nashik,2020 - 2021,2020,14366,1623785.2,113.03
Nashik,2021 - 2022,2021,20923,1603003.29,76.61
Nashik,2022 - 2023,2022,30965,2836084.35,91.59
Solapur,1999 - 2000,1999,66700,6304500.0,94.52
Solapur,2000 - 2001,2000,64700,5952500.0,92.0
Solapur,2001 - 2002,2001,59800,4533500.0,75.81
Solapur,2002 - 2003,2002,56400,4052000.0,71.84
Solapur,2003 - 2004,2003,48600,2831500.0,58.26
Solapur,2004 - 2005,2004,36400,2632800.0,72.33
Solapur,2005 - 2006,2005,68300,5660500.0,82.88
Solapur,2006 - 2007,2006,143600,12223700.0,85.12
Solapur,2007 - 2008,2007,154500,12247900.0,79.27
Solapur,2008 - 2009,2008,117500,9954400.0,84.72
Solapur,2009 - 2010,2009,107300,9932600.0,92.57
Solapur,2010 - 2011,2010,163100,16000100.0,98.1
Solapur,2011 - 2012,2011,173400,15936200.0,91.9
Solapur,2012 - 2013,2012,144200,9716600.0,67.38
Solapur,2013 - 2014,2013,122600,10488200.0,85.55
Solapur,2014 - 2015,2014,205500,20049700.0,97.57
Solapur,2015 - 2016,2015,183100,10964400.0,59.88
Solapur,2016 - 2017,2016,64744,4762070.0,73.55
Solapur,2017 - 2018,2017,100505,10468150.0,104.16
Solapur,2018 - 2019,2018,190018,14093635.0,74.17
Solapur,2019 - 2020,2019,97086,8886198.0,91.53
Solapur,2020 - 2021,2020,215000,22608354.26,105.16
Solapur,2021 - 2022,2021,254125,26087769.41,102.66
Solapur,2022 - 2023,2022,230050,20058059.5,87.19
