District,Crop_Year,District_Mean_Yield_t_ha,Talukas_With_Data,Source,Yield_Unit,Station,Station_Abbr,Start_Year,End_Year,Start_Date,End_Date,Total_Days,Available_Days,Completeness_Pct,RAINFALL_MM_Total,RAINFALL_MM_Count,EVAPORATION_MM_Total,EVAPORATION_MM_Count,EVAPOTRANSPIRATION_MM_Total,EVAPOTRANSPIRATION_MM_Count,SUNSHINE_HOURS_Mean,SUNSHINE_HOURS_Count,MAX_TEMP_C_Mean,MAX_TEMP_C_Count,MIN_TEMP_C_Mean,MIN_TEMP_C_Count,MEAN_TEMP_C_Mean,MEAN_TEMP_C_Count,RH_0700_PERCENT_Mean,RH_0700_PERCENT_Count,RH_1400_PERCENT_Mean,RH_1400_PERCENT_Count,Core_Weather_Completeness_Pct,Heat_Days_Tmax_ge_35C,Heat_Days_Tmax_ge_38C,Dry_Days_Rain_lt_1mm,Heavy_Rain_Days_Rain_ge_50mm,Drought_Index,Moisture_Adequacy_Index,Water_Balance_mm
Nashik,2009-2010,72.7,12,"Crop Estimation surveys, Maharashtra",t/ha (Crop Estimation taluka average),Niphad,NPD,2009.0,2010.0,2009-10-01,2010-09-30,365.0,365.0,100.0,616.0,365.0,1915.1,365.0,0.0,0.0,7.508356545961003,359.0,31.861369863013696,365.0,17.149863013698628,365.0,24.530958904109596,365.0,84.33150684931506,365.0,46.07397260273972,365.0,100.0,91.0,50.0,312.0,2.0,-0.67834577828834,,-1299.1
Nashik,2010-2011,77.35000000000001,12,"Crop Estimation surveys, Maharashtra",t/ha (Crop Estimation taluka average),Niphad,NPD,2010.0,2011.0,2010-10-01,2011-09-30,365.0,365.0,100.0,731.6999999999999,365.0,2185.2,365.0,0.0,0.0,7.385318559556786,361.0,31.05835616438356,365.0,17.083835616438357,365.0,24.0986301369863,365.0,86.44931506849315,365.0,45.66849315068493,365.0,100.0,69.0,15.0,301.0,2.0,-0.6651565074135091,,-1453.5
Nashik,2011-2012,74.28333333333333,12,"Crop Estimation surveys, Maharashtra",t/ha (Crop Estimation taluka average),Niphad,NPD,2011.0,2012.0,2011-10-01,2012-09-30,366.0,334.0,91.2568306010929,557.5999999999999,334.0,2275.0,334.0,0.0,0.0,7.922935779816514,327.0,31.408982035928144,334.0,15.06766467065868,334.0,23.260179640718565,334.0,82.69461077844312,334.0,42.790419161676645,334.0,91.2568306010929,78.0,25.0,291.0,3.0,-0.7549010989010989,,-1717.4
Nashik,2012-2013,75.74166666666666,12,"Crop Estimation surveys, Maharashtra",t/ha (Crop Estimation taluka average),Niphad,NPD,2012.0,2013.0,2012-10-01,2013-09-30,365.0,339.0,92.87671232876713,628.3,339.0,2213.6,339.0,0.0,0.0,9.050625,160.0,31.363126843657813,339.0,16.10560471976401,339.0,23.755457227138645,339.0,84.86430678466077,339.0,49.64011799410029,339.0,92.87671232876713,69.0,18.0,277.0,2.0,-0.7161637152150343,,-1585.3
Nashik,2013-2014,77.94166666666668,12,"Crop Estimation surveys, Maharashtra",t/ha (Crop Estimation taluka average),Niphad,NPD,2013.0,2014.0,2013-10-01,2014-09-30,365.0,334.0,91.5068493150685,613.6,334.0,2390.5,334.0,0.0,0.0,7.277011494252873,261.0,31.80029940119761,334.0,17.067664670658683,334.0,24.46347305389222,334.0,83.7934131736527,334.0,53.82335329341317,334.0,91.5068493150685,93.0,45.0,284.0,2.0,-0.7433172976364778,,-1776.9
Solapur,2009-2010,90.69090909090907,11,"Crop Estimation surveys, Maharashtra",t/ha (Crop Estimation taluka average),Solapur,SLP,2009.0,2010.0,2009-10-01,2010-09-30,365.0,365.0,100.0,1080.1,365.0,2137.7,365.0,482.80000000000007,349.0,6.542699724517906,363.0,34.08767123287672,365.0,20.695616438356165,365.0,27.41780821917808,365.0,74.8027397260274,365.0,46.26575342465753,365.0,100.0,122.0,88.0,293.0,4.0,-0.4947373345184076,2.2371582435791213,-1540.4
Solapur,2010-2011,96.44545454545454,11,"Crop Estimation surveys, Maharashtra",t/ha (Crop Estimation taluka average),Solapur,SLP,2010.0,2011.0,2010-10-01,2011-09-30,365.0,365.0,100.0,696.9,365.0,2130.1,365.0,401.1,363.0,6.856164383561644,365.0,33.86054794520548,365.0,20.09780821917808,365.0,27.0027397260274,365.0,73.71232876712328,365.0,41.81095890410959,365.0,100.0,110.0,67.0,310.0,2.0,-0.6728322613961786,1.7374719521316382,-1834.3
Solapur,2011-2012,91.96363636363635,11,"Crop Estimation surveys, Maharashtra",t/ha (Crop Estimation taluka average),Solapur,SLP,2011.0,2012.0,2011-10-01,2012-09-30,366.0,366.0,100.0,488.0,366.0,2396.7,366.0,463.5,364.0,7.088524590163935,366.0,34.956010928961746,366.0,20.26666666666667,366.0,27.628142076502737,366.0,67.94535519125684,366.0,39.09836065573771,366.0,100.0,146.0,86.0,325.0,1.0,-0.796386698376935,1.0528586839266452,-2372.2
Solapur,2012-2013,69.73636363636363,11,"Crop Estimation surveys, Maharashtra",t/ha (Crop Estimation taluka average),Solapur,SLP,2012.0,2013.0,2012-10-01,2013-09-30,365.0,365.0,100.0,801.0999999999998,365.0,2413.4,365.0,457.3,353.0,6.872328767123288,365.0,34.24054794520548,365.0,19.78684931506849,365.0,27.03506849315068,365.0,70.98630136986301,365.0,38.95890410958904,365.0,100.0,121.0,76.0,294.0,4.0,-0.6680616557553659,1.7518040673518476,-2069.6000000000004
Solapur,2013-2014,84.99090909090908,11,"Crop Estimation surveys, Maharashtra",t/ha (Crop Estimation taluka average),Solapur,SLP,2013.0,2014.0,2013-10-01,2014-09-30,365.0,365.0,100.0,591.5,365.0,2337.5,365.0,579.2,365.0,7.076712328767123,365.0,34.00684931506849,365.0,19.735616438356164,365.0,26.895342465753423,365.0,74.11506849315069,365.0,38.84931506849315,365.0,100.0,116.0,80.0,309.0,1.0,-0.746951871657754,1.0212361878453038,-2325.2
