Year,Area_hectares,Production_tonnes,Yield_tonnes_per_hectare,Year_Start,Area_Change_Pct,Production_Change_Pct,Yield_Change_Pct,Area_MA5,Production_MA5,Yield_MA5,Period,Scale_Category,Time_Index,Crop_Year,Start_Year,End_Year,Completeness_Pct,Total_Days,Available_Days,RAINFALL_MM_Total,RAINFALL_MM_Count,EVAPORATION_MM_Total,EVAPORATION_MM_Count,EVAPOTRANSPIRATION_MM_Total,EVAPOTRANSPIRATION_MM_Count,SUNSHINE_HOURS_Mean,SUNSHINE_HOURS_Count,MAX_TEMP_C_Mean,MAX_TEMP_C_Count,MIN_TEMP_C_Mean,MIN_TEMP_C_Count,MEAN_TEMP_C_Mean,MEAN_TEMP_C_Count,RH_0700_PERCENT_Mean,RH_0700_PERCENT_Count,RH_1400_PERCENT_Mean,RH_1400_PERCENT_Count
1999-2000,66600,5962900.0,89.53,1999,,,,61900.0,4907700.0,78.55,Period 1 (1999-2006),Medium (50-100k ha),1,,,,,,,,,,,,,,,,,,,,,,,,
2000-2001,67100,5163900.0,76.96,2000,0.7507507507507505,-13.399520367606366,-14.039986596671516,58775.0,4506525.0,75.6275,Period 1 (1999-2006),Medium (50-100k ha),2,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,52000,3596300.0,69.16,2001,-22.503725782414307,-30.356900792037024,-10.135135135135132,53260.0,3902580.0,70.032,Period 1 (1999-2006),Medium (50-100k ha),3,,,,,,,,,,,,,,,,,,,,,,,,
2002-2003,49400,3303000.0,66.86,2002,-5.000000000000004,-8.155604371159242,-3.3256217466743787,43340.0,2910360.0,63.912,Period 1 (1999-2006),Small (<50k ha),4,2002-2003,2002.0,2003.0,95.8904109589041,365.0,350.0,265.20000000000005,329.0,1941.0,329.0,1202.6,329.0,7.603647416413375,329.0,33.328267477203646,329.0,17.88085106382979,329.0,25.52340425531915,329.0,66.75075987841946,329.0,35.0516717325228,329.0
2003-2004,31200,1486800.0,47.65,2003,-36.8421052631579,-54.986376021798364,-28.73167813341311,41240.0,2756640.0,64.05199999999999,Period 1 (1999-2006),Small (<50k ha),5,2003-2004,2003.0,2004.0,98.36065573770492,366.0,360.0,80.7,335.0,1745.2999999999997,335.0,1147.7,335.0,7.93910447761194,335.0,32.68626865671642,335.0,18.043880597014926,335.0,25.376119402985076,335.0,68.0865671641791,335.0,36.58716417910448,335.0
2004-2005,17000,1001800.0,58.93,2004,-45.51282051282052,-32.62039278988431,23.672612801678916,49540.0,3264940.0,63.348,Period 1 (1999-2006),Small (<50k ha),6,2004-2005,2004.0,2005.0,98.08219178082192,365.0,358.0,58.89999999999999,349.0,1777.0,349.0,1175.3,349.0,7.492263610315185,349.0,32.08223495702006,349.0,17.935243553008593,349.0,24.9730659025788,349.0,71.34383954154728,349.0,38.8730659025788,349.0
2005-2006,56600,4395300.0,77.66,2005,232.94117647058826,338.7402675184668,31.78347191583233,66320.0,4690740.0,65.628,Period 1 (1999-2006),Medium (50-100k ha),7,2005-2006,2005.0,2006.0,99.17808219178083,365.0,362.0,61.1,356.0,1484.9,356.0,1226.2,356.0,7.5002808988764045,356.0,31.803932584269663,356.0,17.382303370786516,356.0,24.62162921348315,356.0,71.31460674157303,356.0,37.10112359550562,356.0
2006-2007,93500,6137800.0,65.64,2006,65.19434628975264,39.644620389962014,-15.477723409734734,75580.0,5506340.0,70.458,Period 1 (1999-2006),Medium (50-100k ha),8,2006-2007,2006.0,2007.0,100.0,365.0,365.0,696.5999999999999,362.0,1755.3,362.0,1310.2,362.0,7.480662983425415,362.0,32.421270718232044,362.0,18.303591160221,362.0,25.34171270718232,362.0,71.6767955801105,362.0,41.45580110497237,362.0
2007-2008,133300,10432000.0,78.26,2007,42.56684491978611,69.96317898921438,19.226081657525906,87300.0,6573780.0,75.44200000000001,Period 2 (2006-2013),Large (≥100k ha),9,2007-2008,2007.0,2008.0,100.0,366.0,366.0,542.8000000000001,342.0,1959.3,342.0,1189.5,342.0,7.208187134502923,342.0,32.55555555555556,342.0,17.48625730994152,342.0,25.040058479532167,342.0,70.95029239766082,342.0,36.66081871345029,342.0
2008-2009,77500,5564800.0,71.8,2008,-41.860465116279066,-46.65644171779141,-8.254536161512915,101180.0,7998000.0,78.19,Period 2 (2006-2013),Medium (50-100k ha),10,,,,,,,,,,,,,,,,,,,,,,,,
