District,Year,Year_Start,Yield_tonnes_per_hectare,Yield_Change_Pct,Yield_MA5,Period,Time_Index
Solapur,2009-2010,2009,90.69090909090907,,93.03333333333332,Period 2 (2006-2013),1
Solapur,2010-2011,2010,96.44545454545454,6.345228548516446,87.2090909090909,Period 2 (2006-2013),2
Solapur,2011-2012,2011,91.96363636363635,-4.64699783202941,86.76545454545453,Period 2 (2006-2013),3
Solapur,2012-2013,2012,69.73636363636363,-24.169632265717667,87.03636363636363,Period 2 (2006-2013),4
Solapur,2013-2014,2013,84.99090909090908,21.874592621561728,79.99272727272725,Period 2 (2006-2013),5
Solapur,2014-2015,2014,92.04545454545452,8.300352978928194,74.95818181818181,Period 3 (2013-2020),6
Solapur,2015-2016,2015,61.22727272727273,-33.48148148148147,80.99636363636363,Period 3 (2013-2020),7
Solapur,2016-2017,2016,66.7909090909091,9.086859688196004,78.67636363636363,Period 3 (2013-2020),8
Solapur,2017-2018,2017,99.92727272727274,49.61208656594529,78.90927272727272,Period 3 (2013-2020),9
Solapur,2018-2019,2018,73.39090909090909,-26.555676855895204,87.70981818181818,Period 3 (2013-2020),10
Solapur,2019-2020,2019,93.21,27.00483091787438,93.94563636363637,Period 3 (2013-2020),11
Solapur,2020-2021,2020,105.23,12.895612058791993,91.6441818181818,Period 3 (2013-2020),12
Solapur,2021-2022,2021,97.97,-6.899173239570466,95.11,Other,13
Solapur,2022-2023,2022,88.41999999999999,-9.74788200469533,95.58500000000001,Other,14
Solapur,2023-2024,2023,90.72,2.6012214431124336,92.37,Other,15
