End_Year,5_Year_Avg_Area_hectares,5_Year_Avg_Production_tonnes,5_Year_Avg_Yield_tonnes_per_hectare
2003-2004,53260.00,3902580.00,70.03
2004-2005,46060.00,3473960.00,68.81
2005-2006,44440.00,3519320.00,70.30
2006-2007,52220.00,4243440.00,72.35
2007-2008,68040.00,5140320.00,70.16
2008-2009,75580.00,5506340.00,70.46
2009-2010,79380.00,5958620.00,73.82
2010-2011,90540.00,7394740.00,79.95
2011-2012,100240.00,8878840.00,86.23
2012-2013,107260.00,9114760.00,83.65
2013-2014,111480.00,9522780.00,85.06
2014-2015,114160.00,9754360.00,85.24
2015-2016,116320.00,9829120.00,84.50
2016-2017,111582.40,9664634.00,86.48
2017-2018,106852.40,9326914.00,85.42
2018-2019,106252.60,9525305.60,87.79
2019-2020,105519.20,9455957.29,88.67
2020-2021,108359.60,9464223.49,85.72

