Year,Area_Change_Percent,Production_Change_Percent,Yield_Change_Percent,Previous_Year
2000-2001,0.75,-13.41,-14.05,1999-2000
2001-2002,-22.50,-30.36,-10.14,2000-2001
2002-2003,-5.00,-8.15,-3.34,2001-2002
2003-2004,-36.84,-54.99,-28.73,2002-2003
2004-2005,-45.51,-32.62,23.67,2003-2004
2005-2006,232.94,338.74,31.78,2004-2005
2006-2007,65.19,39.64,-15.48,2005-2006
2007-2008,42.57,69.96,19.23,2006-2007
2008-2009,-41.86,-46.66,-8.25,2007-2008
2009-2010,-2.45,13.92,16.78,2008-2009
2010-2011,66.67,81.68,9.00,2009-2010
2011-2012,2.78,3.15,0.36,2010-2011
2012-2013,-10.81,-30.67,-22.27,2011-2012
2013-2014,-4.07,17.10,22.08,2012-2013
2014-2015,10.11,21.95,10.75,2013-2014
2015-2016,-7.87,-43.82,-39.02,2014-2015
2016-2017,-45.75,-36.71,16.67,2015-2016
2017-2018,71.23,170.46,57.95,2016-2017
2018-2019,28.82,12.97,-12.30,2017-2018
2019-2020,-47.26,-60.06,-24.26,2018-2019
2020-2021,55.05,134.07,50.95,2019-2020

