District,Period,N,Area_Mean,Production_Mean,Yield_Mean,Yield_SD,Yield_CV_Pct
Ahmednagar,Period 1 (1999-2006),8,54175.0,3880975.0,69.04875,11.900321883776925,17.234666643171565
Ahmednagar,Period 2 (2007-2013),7,109742.85714285714,9087242.857142856,82.19714285714285,7.965125260042262,9.690270224946268
Ahmednagar,Period 3 (2014-2020),7,102167.14285714286,9097573.92,86.80571428571429,18.653982996471637,21.48934911712551
Solapur,Period 1 (1999-2006),8,68062.5,5523875.0,79.095,11.171309233925985,14.123913311746616
Solapur,Period 2 (2007-2013),7,140371.42857142858,12039428.57142857,85.64142857142856,9.390900502342573,10.96537115154515
Solapur,Period 3 (2014-2020),7,150850.42857142858,13118929.608571429,86.57428571428571,16.19627016775587,18.707945476104932
Nashik,Period 1 (1999-2006),8,21337.5,1533737.5,69.545,13.44300840585916,19.329942347917406
Nashik,Period 2 (2007-2013),7,30785.714285714286,2392800.0,77.49142857142859,5.50279261199368,7.101162945939782
Nashik,Period 3 (2014-2020),7,14605.142857142857,1292821.8857142855,88.70285714285714,11.003806762448447,12.405245013389669
Bellary,Period 1 (1999-2006),7,5165.428571428572,475906.5714285714,88.75714285714285,13.765469961657905,15.50914046863115
Bellary,Period 2 (2007-2013),7,3375.8571428571427,301311.4285714286,93.77857142857142,15.566375326848782,16.599074916283264
Bellary,Period 3 (2014-2020),7,6384.571428571428,527994.7142857143,85.85000000000001,16.132000141688213,18.7909145505978
Dharwad,Period 1 (1999-2006),7,2789.285714285714,201211.14285714287,71.92857142857143,19.73044886070507,27.430614106243397
Dharwad,Period 2 (2007-2013),7,3385.8571428571427,213007.57142857142,63.785714285714285,4.582241675807836,7.183805538780483
Dharwad,Period 3 (2014-2020),7,7784.571428571428,549916.8571428572,70.80428571428571,5.851981000708482,8.2650095847627
